Questão,Curso,UF,Região,Cat. Adm.,Org. Acad.,Brasil
9.0,-,-,-,-,-,-
10.0,"22,2","46,2","42,6","41,3","39,6","42,6"
11.0,"50,0","51,7","50,8","50,9","51,6","51,5"
12.0,"11,1","28,4","25,9","25,4","24,4","26,2"
13.0,"16,7","44,4","44,4","43,9","43,4","43,9"
14.0,"72,2","59,8","57,4","56,8","58,0","58,5"
15.0,"66,7","63,5","62,1","60,9","61,4","62,0"
16.0,"22,2","20,7","19,7","18,8","16,0","20,4"
17.0,-,-,-,-,-,-
18.0,-,-,-,-,-,-
19.0,"50,0","59,8","58,0","58,9","57,7","57,9"
20.0,"27,8","42,4","36,2","32,1","28,2","36,9"
21.0,-,-,-,-,-,-
22.0,"27,8","41,8","38,8","37,3","36,8","38,9"
23.0,"88,9","86,5","82,3","81,4","82,5","83,1"
24.0,"27,8","30,2","27,8","25,4","25,5","27,1"
25.0,"61,1","62,1","57,9","56,8","58,2","58,5"
26.0,"61,1","60,8","56,5","55,0","55,5","56,1"
27.0,-,-,-,-,-,-
28.0,"50,0","58,3","55,9","55,4","54,3","56,5"
29.0,"38,9","46,5","43,6","42,9","42,4","44,2"
30.0,"5,6","16,5","15,3","13,9","11,6","16,2"
31.0,"33,3","27,8","27,8","28,2","29,3","27,7"
32.0,"22,2","37,2","36,3","34,0","31,9","35,5"
33.0,-,-,-,-,-,-
34.0,"50,0","37,5","35,0","33,4","31,5","35,6"
35.0,"38,9","38,6","36,8","34,8","36,0","36,3"
